название,год,платформа,издатель
Sorcerer's Apprentice,1983,Atari 2600,Atari
Mickey's Space Adventure,1986,"Apple II, Commodore 64, DOS, TRS-80 CoCo","Sierra On-Line, Inc."
Mickey Mousecapade,1987,Nintendo Entertainment System,"Capcom U.S.A., Inc."
Mickey Mouse: The Computer Game,1988,"Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",Gremlin Graphics Software
Mickey Mouse,1989,Game Boy,"Kotobuki System Co., Ltd."
Castle of Illusion Starring Mickey Mouse,1990,"Game Gear, Sega Megadrive, Sega Master System",Sega Enterprises
Mickey's Dangerous Chase,1991,Game Boy,Capcom
Mickey's Crossword Puzzle Maker,1991,"Apple II, DOS",Walt Disney Computer Software
Fantasia,1991,Megadrive,Sega of America
"World of Illusion, starring Mickey Mouse and Donald Duck",1992,Sega Megadrive,Sega of America
"The Magical Quest, starring Mickey Mouse",1992,Super Nintendo,Capcom
"Land of Illusion, starring Mickey Mouse",1992,"Game Gear, Master System",Sega Enterprises
"Legend of Illusion, starring Mickey Mouse",1994,"Sega Game Gear, Sega Master System",Sega
Mickey Mania,1994,"Megadrive, PlayStation, Mega CD, Super Nintendo",Sony Computer Entertainment
"The Great Circus Mystery, starring Mickey and Minnie Mouse",1994,"Game Boy Advance, Sega Megadrive, Super Nintendo",Capcom
Mickey's Ultimate Challenge,1994,"Super Nintendo, Game Boy, Megadrive, Sega Master System, Sega Game Gear",Nintendo
"Disney's Magical Quest 3, starring Mickey and Donald",1995,"Game Boy Advance, Super Nintendo",Capcom
Mickey's Wild Adventure,1996,Playstation,Disney Interactive
Mickey's Racing Adventure,1999,Game Boy Color,Nintendo
Mickey's Speedway USA,2000,Nintendo 64,Nintendo
Mickey’s Speedway USA,2001,Game Boy Color,Nintendo
Disney's Mickey Saves the Day: 3D Adventure,2001,Windows,Disney Interactive
"Disney's Magical Mirror, starring Mickey Mouse",2002,GameCube,Nintendo
"Disney's Magical Quest, starring Mickey & Minnie *",2002,Game Boy Advance,Nintendo
Kingdom Hearts,2002,Playstation 2,Square Soft
Kingdom Hearts: Chain of Memories,2004,Game Boy Advance,Square Enix
Kingdom Hearts II,2005,Playstation 2,Square Enix
Kingdom Hearts Re:Chain of Memories,2006,Playstation 2,Square Enix
Kingdom Hearts coded,2009,Мобильный телефон,Square Enix
Kingdom Hearts 358/2 Days,2009,Nintendo DS,Square Enix
Kingdom Hearts Birth by Sleep,2009,Playstation Portable,Square Enix
Kingdom Hearts Re: coded,2010,Nintendo DS,Square Enix
Epic Mickey,2010,Nintendo Wii,Disney Interactive
Kingdom Hearts 3D: Dream Drop Distance,2012,Nintendo 3DS,Square Enix
Epic Mickey 2: The Power of Two,2012,"Microsoft Windows, Mac OS X, PlayStation 3, Wii, Xbox 360, Wii U, PlayStation Vita",Disney Interactive
Castle of Illusion Starring Mickey Mouse,2013,"Microsoft Windows, Xbox 360, PlayStation 3, PlayStation Vita",Sega Studios Australia
